basename,mags_and_gtdb,gtdb,mag_only
SRR28284312,0.851050907,0.817438952,0.540463699
SRR28284326,0.823365373,0.797705924,0.348777358
SRR28284392,0.79057096,0.772383013,0.268565149
SRR28284400,0.75747328,0.704742819,0.341820307
SRR28284411,0.725686692,0.690258148,0.248142296
SRR28284423,0.80357591,0.77844775,0.33782219
SRR28284460,0.801970853,0.774117917,0.326041578
SRR28284461,0.771554096,0.748555268,0.278899637
SRR28284466,0.762166474,0.73472564,0.311834285
SRR28284467,0.777348541,0.747080376,0.321798111
SRR28284468,0.787581573,0.757826171,0.381268429
SRR28284471,0.793396232,0.773810015,0.295677727
SRR28284489,0.782859673,0.764949346,0.262915228
SRR28284495,0.788858449,0.764548096,0.312939851
SRR28284498,0.806383061,0.7808012,0.328506783
SRR28284503,0.796101415,0.773434947,0.280054358
SRR28753446,0.729776466,0.705040332,0.278049651
SRR28753448,0.719990066,0.673286017,0.43489215
SRR28753452,0.743278861,0.711207394,0.397809422
SRR28753456,0.732913151,0.706047513,0.284631735
SRR28753466,0.704378197,0.671507587,0.311818485
SRR28753468,0.754610479,0.717335584,0.455245011
SRR28753471,0.735602549,0.705349849,0.378541254
SRR28753474,0.778217123,0.731842892,0.472419883
SRR28753477,0.723277684,0.686213729,0.321231793
SRR28753480,0.747057654,0.719722335,0.347849194
SRR28753484,0.738351308,0.705206233,0.399835422
SRR28753487,0.73419616,0.708351176,0.224428841
SRR28855677,0.761005491,0.730189511,0.321951779
SRR28855686,0.837820714,0.819283608,0.286249294
SRR28855692,0.807027863,0.776556082,0.364152966
SRR28855695,0.803074271,0.75953968,0.392684829
SRR28855699,0.778052432,0.759725655,0.213640636
SRR28855704,0.768314365,0.75014314,0.238174641
SRR28855708,0.822798516,0.785083299,0.435954888
SRR28855709,0.833735688,0.799340216,0.404682941
SRR28855711,0.78501153,0.753500088,0.36884024
SRR28855712,0.74878383,0.725694467,0.357524664
SRR28855719,0.77412297,0.718421081,0.416922456
SRR28855723,0.772745563,0.749566388,0.336316585
SRR28855725,0.793392567,0.770241522,0.170066325
SRR28855727,0.775212064,0.73606177,0.48133111
SRR28855729,0.760498754,0.728250775,0.415950198
SRR28855730,0.736446852,0.733726761,0.06807323
