metag_count,acc,organism
14,SRR12277003,pig gut metagenome
14,SRR17241512,pig gut metagenome
14,SRR25936400,pig gut metagenome
14,ERR1135281,pig gut metagenome
14,SRR17241653,pig gut metagenome
14,ERR12731721,pig gut metagenome
14,SRR8960157,pig gut metagenome
14,SRR11124980,pig gut metagenome
14,SRR14369146,pig gut metagenome
14,SRR17241488,pig gut metagenome
14,SRR17241644,pig gut metagenome
14,ERR1135337,pig gut metagenome
14,SRR8960807,pig gut metagenome
14,SRR11124809,pig gut metagenome
14,SRR27108360,pig gut metagenome
14,SRR17241510,pig gut metagenome
14,SRR22328054,pig gut metagenome
14,SRR12960524,pig gut metagenome
14,SRR8960759,pig gut metagenome
14,SRR11125742,pig gut metagenome
14,SRR26064518,pig gut metagenome
14,ERR1135321,pig gut metagenome
14,SRR17241633,pig gut metagenome
14,SRR8960556,pig gut metagenome
14,SRR8960868,pig gut metagenome
14,SRR8960153,pig gut metagenome
14,SRR17241574,pig gut metagenome
14,SRR8960526,pig gut metagenome
14,SRR14369281,pig gut metagenome
14,SRR17241558,pig gut metagenome
14,SRR11723721,pig gut metagenome
14,SRR8960799,pig gut metagenome
14,SRR8960294,pig gut metagenome
14,SRR8960434,pig gut metagenome
14,SRR8960200,pig gut metagenome
14,SRR8960649,pig gut metagenome
14,SRR8960766,pig gut metagenome
14,SRR8960391,pig gut metagenome
14,SRR11126512,pig gut metagenome
14,SRR8960581,pig gut metagenome
14,SRR8960796,pig gut metagenome
14,SRR27108414,pig gut metagenome
14,SRR8960698,pig gut metagenome
14,SRR25936227,pig gut metagenome
14,SRR8960672,pig gut metagenome
14,SRR8960675,pig gut metagenome
14,SRR26064553,pig gut metagenome
14,SRR11489747,pig gut metagenome
14,SRR8960976,pig gut metagenome
14,SRR17241654,pig gut metagenome
14,SRR8960345,pig gut metagenome
14,SRR11125881,pig gut metagenome
14,ERR12087262,pig gut metagenome
14,SRR10209672,pig gut metagenome
14,SRR11185258,pig gut metagenome
14,SRR8960155,pig gut metagenome
14,SRR25936364,pig gut metagenome
14,SRR8960513,pig gut metagenome
14,SRR8960126,pig gut metagenome
14,SRR5241533,pig gut metagenome
14,SRR8960188,pig gut metagenome
14,SRR12960525,pig gut metagenome
14,SRR17241584,pig gut metagenome
14,SRR20632232,pig gut metagenome
14,SRR17241568,pig gut metagenome
14,SRR8960259,pig gut metagenome
14,SRR8960597,pig gut metagenome
14,SRR17241554,pig gut metagenome
14,SRR17241553,pig gut metagenome
14,SRR26064509,pig gut metagenome
14,SRR8960268,pig gut metagenome
14,SRR14369136,pig gut metagenome
14,SRR26064508,pig gut metagenome
14,SRR26820257,pig gut metagenome
14,SRR25936386,pig gut metagenome
14,SRR14369287,pig gut metagenome
14,SRR20632240,pig gut metagenome
14,SRR11124882,pig gut metagenome
14,SRR17241583,pig gut metagenome
14,SRR11125790,pig gut metagenome
14,SRR12203212,pig gut metagenome
14,SRR11723740,pig gut metagenome
14,SRR8960400,pig gut metagenome
14,SRR13517626,pig gut metagenome
14,SRR17241571,pig gut metagenome
14,ERR1135235,pig gut metagenome
14,SRR8960584,pig gut metagenome
14,SRR8960325,pig gut metagenome
14,SRR25936421,pig gut metagenome
14,SRR8960199,pig gut metagenome
14,SRR11489748,pig gut metagenome
14,SRR8960190,pig gut metagenome
14,SRR8960519,pig gut metagenome
14,SRR11126480,pig gut metagenome
14,SRR23223857,pig gut metagenome
14,SRR26064507,pig gut metagenome
14,SRR17241661,pig gut metagenome
14,SRR11126484,pig gut metagenome
14,ERR1135345,pig gut metagenome
14,ERR12087267,pig gut metagenome
14,SRR11183698,pig gut metagenome
14,SRR8960386,pig gut metagenome
14,SRR25936252,pig gut metagenome
14,SRR8960421,pig gut metagenome
14,SRR17241486,pig gut metagenome
14,SRR11124701,pig gut metagenome
14,ERR1135224,pig gut metagenome
14,ERR12731847,pig gut metagenome
14,SRR11489789,pig gut metagenome
14,SRR17241663,pig gut metagenome
14,SRR11183807,pig gut metagenome
14,SRR8960628,pig gut metagenome
14,SRR8960319,pig gut metagenome
14,SRR8960339,pig gut metagenome
14,SRR10209682,pig gut metagenome
14,SRR17241505,pig gut metagenome
14,SRR8960337,pig gut metagenome
14,SRR17241628,pig gut metagenome
14,SRR8960441,pig gut metagenome
14,ERR8314749,pig gut metagenome
14,SRR26064503,pig gut metagenome
14,SRR17241559,pig gut metagenome
14,SRR14369185,pig gut metagenome
