basename,mags_and_gtdb,gtdb,mag_only,gtdb_reps,mags_and_gtdbreps
SRR8960770,0.717898462,0.639652057,0.367188421,0.579293532,0.729556813
SRR8960771,0.712731498,0.639613249,0.402656917,0.551031723,0.709822191
SRR8960772,0.857922201,0.803777989,0.434937683,0.665330016,0.833264278
SRR8960773,0.857800115,0.794656922,0.442341432,0.643193353,0.839677783
SRR8960774,0.873762795,0.817713383,0.391450912,0.667421189,0.838106425
SRR8960775,0.826212177,0.761500764,0.4330654,0.630890814,0.806897238
SRR8960776,0.713015594,0.642961868,0.38636229,0.569863569,0.699568837
SRR8960777,0.910408596,0.861820872,0.48863753,0.705349162,0.891072441
SRR8960778,0.878251523,0.836558069,0.448158726,0.679066765,0.850410103
SRR8960779,0.822628206,0.726531912,0.487344395,0.582189949,0.795073902
SRR8960780,0.84076208,0.793169162,0.463172319,0.661278691,0.816206372
